Date,Close Price
29-Jun-23,4396.44
28-Jun-23,4376.86
27-Jun-23,4378.41
26-Jun-23,4328.82
23-Jun-23,4348.33
22-Jun-23,4381.89
21-Jun-23,4365.69
20-Jun-23,4388.71
16-Jun-23,4409.59
15-Jun-23,4425.84
14-Jun-23,4372.59
13-Jun-23,4369.01
12-Jun-23,4338.93
9-Jun-23,4298.86
8-Jun-23,4293.93
7-Jun-23,4267.52
6-Jun-23,4283.85
5-Jun-23,4273.79
2-Jun-23,4282.37
1-Jun-23,4221.02
31-May-23,4179.83
30-May-23,4205.52
26-May-23,4205.45
25-May-23,4151.28
24-May-23,4115.24
23-May-23,4145.58
22-May-23,4192.63
19-May-23,4191.98
18-May-23,4198.05
17-May-23,4158.77
16-May-23,4109.9
15-May-23,4136.28
12-May-23,4124.08
11-May-23,4130.62
10-May-23,4137.64
9-May-23,4119.17
8-May-23,4138.12
5-May-23,4136.25
4-May-23,4061.22
3-May-23,4090.75
2-May-23,4119.58
1-May-23,4167.87
28-Apr-23,4169.48
27-Apr-23,4135.35
26-Apr-23,4055.99
25-Apr-23,4071.63
24-Apr-23,4137.04
21-Apr-23,4133.52
20-Apr-23,4129.79
19-Apr-23,4154.52
18-Apr-23,4154.87
17-Apr-23,4151.32
14-Apr-23,4137.64
13-Apr-23,4146.22
12-Apr-23,4091.95
11-Apr-23,4108.94
10-Apr-23,4109.11
6-Apr-23,4105.02
5-Apr-23,4090.38
4-Apr-23,4100.6
3-Apr-23,4124.51
31-Mar-23,4109.31
30-Mar-23,4050.83
29-Mar-23,4027.81
28-Mar-23,3971.27
27-Mar-23,3977.53
24-Mar-23,3970.99
23-Mar-23,3948.72
22-Mar-23,3936.97
21-Mar-23,4002.87
20-Mar-23,3951.57
17-Mar-23,3916.64
16-Mar-23,3960.28
15-Mar-23,3891.93
14-Mar-23,3919.29
13-Mar-23,3855.76
10-Mar-23,3861.59
9-Mar-23,3918.32
8-Mar-23,3992.01
7-Mar-23,3986.37
6-Mar-23,4048.42
3-Mar-23,4045.64
2-Mar-23,3981.35
1-Mar-23,3951.39
28-Feb-23,3970.15
27-Feb-23,3982.24
24-Feb-23,3970.04
23-Feb-23,4012.32
22-Feb-23,3991.05
21-Feb-23,3997.34
17-Feb-23,4079.09
16-Feb-23,4090.41
15-Feb-23,4147.6
14-Feb-23,4136.13
13-Feb-23,4137.29
10-Feb-23,4090.46
9-Feb-23,4081.5
8-Feb-23,4117.86
7-Feb-23,4164
6-Feb-23,4111.08
3-Feb-23,4136.48
2-Feb-23,4179.76
1-Feb-23,4119.21
31-Jan-23,4076.6
